GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,0,1,1,14,9,23,25,19,44,86,49,135
3.750-3.999,0,0,0,0,0,0,0,0,0,4,0,4
3.500-3.749,0,0,0,2,1,3,11,1,12,39,6,45
3.250-3.499,0,0,0,2,0,2,3,0,3,20,4,24
3.000-3.249,0,0,0,7,2,9,30,12,42,103,20,123
2.750-2.999,0,0,0,0,0,0,1,1,2,3,0,3
2.500-2.749,0,0,0,0,0,0,8,0,8,34,4,38
2.250-2.499,0,0,0,0,1,1,2,0,2,4,2,6
2.000-2.249,0,1,1,7,0,7,14,7,21,39,4,43
1.750-1.999,0,0,0,0,1,1,0,0,0,1,0,1
1.500-1.749,0,0,0,0,1,1,3,0,3,3,0,3
1.250-1.499,0,0,0,0,0,0,1,0,1,0,0,0
1.000-1.249,0,0,0,1,0,1,2,3,5,3,0,3
0.750-0.999,0,0,0,0,0,0,0,0,0,0,0,0
0.500-0.749,0,0,0,0,0,0,0,0,0,0,0,0
0.250-0.499,0,0,0,0,0,0,0,0,0,0,0,0
0.000-0.249,0,1,1,0,1,1,3,2,5,18,13,31
