GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,10,2,12,143,48,191,357,121,478,802,247,1049
3.750-3.999,0,0,0,3,1,4,2,2,4,5,5,10
3.500-3.749,4,0,4,19,6,25,64,17,81,151,45,196
3.250-3.499,2,0,2,11,3,14,29,4,33,49,15,64
3.000-3.249,13,1,14,61,25,86,180,54,234,375,83,458
2.750-2.999,1,0,1,7,4,11,4,2,6,10,6,16
2.500-2.749,2,0,2,6,2,8,42,12,54,64,19,83
2.250-2.499,1,0,1,8,2,10,10,2,12,21,3,24
2.000-2.249,12,5,17,61,21,82,79,16,95,152,47,199
1.750-1.999,1,0,1,1,3,4,4,0,4,6,1,7
1.500-1.749,2,0,2,1,0,1,9,2,11,15,6,21
1.250-1.499,0,1,1,0,1,1,2,1,3,6,0,6
1.000-1.249,8,2,10,12,3,15,16,2,18,26,9,35
0.750-0.999,0,1,1,0,0,0,2,0,2,2,1,3
0.500-0.749,0,0,0,1,1,2,2,0,2,5,2,7
0.250-0.499,0,0,0,1,0,1,1,0,1,0,0,0
0.000-0.249,32,14,46,26,16,42,72,27,99,323,130,453
