GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,0,1,1,15,4,19,29,10,39,81,33,114
3.750-3.999,0,0,0,1,0,1,1,0,1,5,3,8
3.500-3.749,0,0,0,3,1,4,4,2,6,11,5,16
3.250-3.499,2,1,3,9,2,11,6,0,6,11,2,13
3.000-3.249,9,0,9,15,1,16,10,5,15,20,9,29
2.750-2.999,0,0,0,1,0,1,0,0,0,1,0,1
2.500-2.749,0,0,0,3,0,3,3,1,4,5,1,6
2.250-2.499,0,0,0,0,1,1,1,0,1,4,0,4
2.000-2.249,0,1,1,1,1,2,1,1,2,5,2,7
1.750-1.999,0,0,0,0,0,0,0,0,0,0,0,0
1.500-1.749,1,0,1,0,0,0,1,0,1,1,0,1
1.250-1.499,0,0,0,0,0,0,0,0,0,0,0,0
1.000-1.249,0,0,0,2,0,2,2,0,2,1,4,5
0.750-0.999,0,1,1,0,0,0,0,0,0,0,0,0
0.500-0.749,0,0,0,0,1,1,0,0,0,0,0,0
0.250-0.499,0,0,0,0,0,0,0,0,0,0,0,0
0.000-0.249,5,1,6,3,1,4,6,2,8,9,2,11
