GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,39,26,65,184,174,358,141,160,301,333,381,714
3.750-3.999,32,27,59,100,102,202,114,122,236,205,240,445
3.500-3.749,35,35,70,128,122,250,132,128,260,248,213,461
3.250-3.499,38,19,57,84,81,165,115,122,237,183,165,348
3.000-3.249,32,37,69,73,59,132,107,74,181,198,117,315
2.750-2.999,18,28,46,27,32,59,40,29,69,61,46,107
2.500-2.749,18,16,34,35,21,56,44,29,73,70,27,97
2.250-2.499,10,8,18,11,15,26,17,17,34,33,26,59
2.000-2.249,10,9,19,10,13,23,21,10,31,32,10,42
1.750-1.999,3,0,3,1,5,6,2,4,6,6,3,9
1.500-1.749,1,4,5,5,2,7,9,4,13,9,3,12
1.250-1.499,1,0,1,0,3,3,3,0,3,2,1,3
1.000-1.249,2,0,2,0,3,3,2,0,2,2,3,5
0.750-0.999,0,0,0,0,0,0,0,1,1,0,0,0
0.500-0.749,2,2,4,0,1,1,0,0,0,2,0,2
0.250-0.499,1,0,1,1,0,1,0,1,1,0,1,1
0.000-0.249,2,2,4,2,1,3,3,2,5,13,15,28
