GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,11,6,17,49,80,129,122,211,333,246,378,624
3.750-3.999,0,0,0,2,1,3,2,6,8,7,13,20
3.500-3.749,0,1,1,5,9,14,31,37,68,68,89,157
3.250-3.499,0,0,0,1,5,6,11,15,26,24,36,60
3.000-3.249,3,2,5,21,21,42,62,52,114,146,115,261
2.750-2.999,0,1,1,0,1,1,2,4,6,14,18,32
2.500-2.749,1,1,2,3,2,5,23,21,44,33,27,60
2.250-2.499,0,0,0,0,1,1,5,5,10,5,11,16
2.000-2.249,1,0,1,10,10,20,18,12,30,52,63,115
1.750-1.999,0,0,0,0,0,0,2,3,5,1,3,4
1.500-1.749,1,1,2,1,0,1,4,5,9,4,7,11
1.250-1.499,0,0,0,2,0,2,3,2,5,4,3,7
1.000-1.249,1,1,2,1,0,1,4,7,11,8,20,28
0.750-0.999,0,0,0,0,0,0,0,0,0,0,0,0
0.500-0.749,0,0,0,0,0,0,1,2,3,1,2,3
0.250-0.499,0,0,0,0,0,0,1,0,1,0,1,1
0.000-0.249,1,2,3,6,8,14,30,28,58,42,66,108
