GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,6,9,15,60,125,185,160,334,494,374,734,1108
3.750-3.999,0,0,0,2,1,3,11,6,17,7,22,29
3.500-3.749,0,2,2,10,16,26,29,64,93,69,123,192
3.250-3.499,0,0,0,1,2,3,17,17,34,29,60,89
3.000-3.249,4,8,12,19,30,49,51,84,135,127,216,343
2.750-2.999,0,0,0,0,2,2,2,5,7,6,19,25
2.500-2.749,2,1,3,2,3,5,9,20,29,25,46,71
2.250-2.499,0,0,0,2,4,6,5,3,8,6,18,24
2.000-2.249,4,4,8,8,11,19,15,28,43,55,89,144
1.750-1.999,0,0,0,0,1,1,0,0,0,4,6,10
1.500-1.749,0,0,0,1,1,2,2,6,8,9,15,24
1.250-1.499,0,0,0,1,0,1,1,2,3,0,4,4
1.000-1.249,0,2,2,2,4,6,6,5,11,10,23,33
0.750-0.999,0,0,0,0,0,0,0,0,0,1,2,3
0.500-0.749,0,0,0,0,1,1,1,1,2,2,4,6
0.250-0.499,0,0,0,0,1,1,0,1,1,1,2,3
0.000-0.249,2,7,9,5,7,12,31,53,84,82,129,211
