GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,7,3,10,11,26,37,25,102,127,102,247,349
3.750-3.999,0,0,0,0,0,0,1,8,9,11,12,23
3.500-3.749,2,1,3,2,6,8,11,21,32,15,54,69
3.250-3.499,1,0,1,1,2,3,5,8,13,9,21,30
3.000-3.249,6,1,7,9,7,16,22,26,48,42,52,94
2.750-2.999,0,0,0,0,0,0,1,4,5,5,4,9
2.500-2.749,2,0,2,2,1,3,3,4,7,7,8,15
2.250-2.499,0,0,0,0,0,0,1,2,3,2,5,7
2.000-2.249,0,1,1,5,2,7,3,3,6,15,19,34
1.750-1.999,0,0,0,0,0,0,0,0,0,0,0,0
1.500-1.749,0,0,0,0,1,1,0,4,4,2,4,6
1.250-1.499,0,0,0,0,0,0,0,0,0,0,1,1
1.000-1.249,1,0,1,0,0,0,0,0,0,2,2,4
0.750-0.999,0,0,0,1,0,1,0,1,1,0,0,0
0.500-0.749,0,0,0,0,0,0,0,0,0,1,0,1
0.250-0.499,0,0,0,0,0,0,0,0,0,0,0,0
0.000-0.249,1,0,1,1,2,3,5,5,10,6,16,22
