GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,9,6,15,52,38,90,99,109,208,244,277,521
3.750-3.999,0,0,0,0,0,0,1,1,2,4,4,8
3.500-3.749,2,0,2,4,6,10,21,14,35,69,69,138
3.250-3.499,0,0,0,0,0,0,11,4,15,23,14,37
3.000-3.249,8,0,8,9,9,18,35,34,69,74,57,131
2.750-2.999,0,0,0,0,0,0,3,0,3,1,2,3
2.500-2.749,0,0,0,0,0,0,6,5,11,20,9,29
2.250-2.499,0,0,0,0,0,0,0,0,0,5,0,5
2.000-2.249,4,0,4,4,4,8,12,9,21,27,18,45
1.750-1.999,0,0,0,0,0,0,0,0,0,0,0,0
1.500-1.749,0,0,0,0,0,0,0,0,0,1,2,3
1.250-1.499,0,0,0,0,0,0,0,0,0,1,0,1
1.000-1.249,0,0,0,0,2,2,1,2,3,3,2,5
0.750-0.999,0,0,0,0,0,0,0,0,0,0,0,0
0.500-0.749,0,0,0,0,0,0,0,0,0,1,0,1
0.250-0.499,0,0,0,0,0,0,0,0,0,0,0,0
0.000-0.249,4,2,6,3,0,3,12,3,15,17,17,34
