GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,1,3,4,14,9,23,16,13,29,42,43,85
3.750-3.999,1,0,1,9,0,9,8,4,12,23,15,38
3.500-3.749,6,2,8,26,15,41,20,13,33,47,34,81
3.250-3.499,5,5,10,20,14,34,19,12,31,40,22,62
3.000-3.249,11,8,19,17,10,27,28,18,46,43,26,69
2.750-2.999,3,3,6,11,6,17,13,10,23,17,11,28
2.500-2.749,12,7,19,20,10,30,10,9,19,21,11,32
2.250-2.499,12,3,15,8,6,14,7,3,10,13,11,24
2.000-2.249,13,4,17,5,6,11,13,4,17,13,6,19
1.750-1.999,4,4,8,4,6,10,5,2,7,2,4,6
1.500-1.749,9,2,11,5,3,8,3,3,6,3,1,4
1.250-1.499,5,1,6,5,2,7,1,1,2,3,0,3
1.000-1.249,3,1,4,0,1,1,0,1,1,2,1,3
0.750-0.999,1,1,2,0,1,1,1,0,1,0,1,1
0.500-0.749,0,1,1,0,1,1,0,0,0,0,0,0
0.250-0.499,0,0,0,1,0,1,0,0,0,0,0,0
0.000-0.249,10,9,19,1,3,4,0,4,4,7,3,10
