GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,1,4,5,29,84,113,37,152,189,135,434,569
3.750-3.999,1,4,5,15,53,68,34,99,133,63,149,212
3.500-3.749,2,5,7,30,49,79,38,85,123,90,188,278
3.250-3.499,7,3,10,25,39,64,36,50,86,66,89,155
3.000-3.249,5,5,10,31,39,70,29,49,78,65,95,160
2.750-2.999,4,4,8,14,15,29,19,13,32,30,34,64
2.500-2.749,4,3,7,8,20,28,11,16,27,24,19,43
2.250-2.499,6,2,8,9,3,12,7,9,16,15,10,25
2.000-2.249,4,4,8,2,8,10,4,3,7,12,12,24
1.750-1.999,0,0,0,1,2,3,1,2,3,6,3,9
1.500-1.749,1,0,1,0,3,3,0,1,1,2,3,5
1.250-1.499,1,1,2,0,0,0,4,0,4,0,1,1
1.000-1.249,1,1,2,1,0,1,0,0,0,2,2,4
0.750-0.999,0,1,1,0,2,2,0,0,0,0,0,0
0.500-0.749,0,0,0,0,0,0,1,0,1,1,0,1
0.250-0.499,1,1,2,0,0,0,0,0,0,0,0,0
0.000-0.249,4,1,5,2,3,5,2,2,4,13,180,193
