GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,2,1,3,36,17,53,42,36,78,170,123,293
3.750-3.999,6,4,10,28,12,40,55,22,77,70,35,105
3.500-3.749,3,4,7,36,22,58,56,21,77,146,57,203
3.250-3.499,5,5,10,35,17,52,76,17,93,125,48,173
3.000-3.249,5,7,12,37,22,59,88,16,104,143,24,167
2.750-2.999,1,1,2,18,13,31,40,10,50,57,15,72
2.500-2.749,2,5,7,18,9,27,29,5,34,50,10,60
2.250-2.499,1,1,2,6,3,9,18,7,25,17,4,21
2.000-2.249,5,3,8,4,2,6,12,2,14,22,1,23
1.750-1.999,1,0,1,0,0,0,4,2,6,6,1,7
1.500-1.749,1,0,1,1,1,2,3,1,4,3,1,4
1.250-1.499,0,1,1,1,0,1,2,1,3,3,0,3
1.000-1.249,0,1,1,3,0,3,0,1,1,1,0,1
0.750-0.999,0,0,0,1,0,1,0,0,0,0,0,0
0.500-0.749,0,1,1,3,0,3,1,1,2,0,0,0
0.250-0.499,1,0,1,0,0,0,0,0,0,0,0,0
0.000-0.249,2,1,3,3,1,4,3,1,4,3,1,4
