GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,97,114,211,157,230,387,49,69,118,7,4,11
3.750-3.999,8,10,18,39,50,89,27,36,63,4,6,10
3.500-3.749,53,72,125,103,122,225,34,59,93,8,6,14
3.250-3.499,23,32,55,70,72,142,46,39,85,4,6,10
3.000-3.249,82,73,155,114,131,245,39,57,96,5,9,14
2.750-2.999,16,14,30,52,47,99,21,30,51,5,5,10
2.500-2.749,26,41,67,63,58,121,25,28,53,0,4,4
2.250-2.499,16,17,33,38,33,71,17,22,39,1,2,3
2.000-2.249,43,54,97,39,59,98,15,18,33,1,4,5
1.750-1.999,3,11,14,11,13,24,0,3,3,1,0,1
1.500-1.749,8,14,22,11,16,27,4,4,8,2,2,4
1.250-1.499,5,5,10,8,5,13,4,3,7,1,2,3
1.000-1.249,13,6,19,12,7,19,4,3,7,1,1,2
0.750-0.999,0,3,3,2,1,3,3,2,5,0,0,0
0.500-0.749,0,8,8,2,7,9,1,1,2,0,1,1
0.250-0.499,1,3,4,2,2,4,2,2,4,0,0,0
0.000-0.249,52,27,79,24,21,45,12,7,19,1,2,3
